date,SPY,QQQ
2000-01-04,-0.03910614525139666,-0.06860158311345643
2000-01-05,0.0017889087656528524,-0.025495750708215303
2000-01-06,-0.016071428571428625,-0.06867732558139539
2000-01-07,0.05807622504537213,0.12368318376902065
2000-01-10,0.0034305317324185847,0.02777777777777768
2000-01-11,-0.011965811965811923,-0.048648648648648596
2000-01-12,-0.009948096885813107,-0.022017045454545414
2000-01-13,0.013543031891655843,0.06027596223674658
2000-01-14,0.01357758620689653,0.023287671232876672
2000-01-18,-0.007867318732723838,0.0053547523427042165
2000-01-19,0.008144020574367694,0.022636484687083902
2000-01-20,-0.015306122448979553,-0.009765625
2000-01-21,-0.0021588946459413227,0.012491781722550943
2000-01-24,-0.028342708784076187,-0.04805194805194801
2000-01-25,0.011356045424181671,0.01500682128240105
2000-01-26,-0.00792602377807139,-0.040322580645161255
2000-01-27,-0.003994673768308976,0.014705882352941124
2000-01-28,-0.031194295900178304,-0.05037957211870259
2000-01-31,0.027138914443422202,0.04287790697674421
2000-02-01,0.009852216748768461,0.02682926829268295
2000-02-02,0.0008869179600887733,0.008483203257550143
2000-02-03,0.015064244572441376,0.03903095558546443
2000-02-04,-0.0041466608467918276,0.00680051813471505
2000-02-07,-0.0015340784571553634,0.013830813766484429
2000-02-08,0.013608428446005183,0.04187817258883242
2000-02-09,-0.021004763967085283,-0.035322777101096214
2000-02-10,0.001990710019907027,0.03282828282828287
2000-02-11,-0.020309050772626902,-0.023227383863080653
2000-02-14,0.005858494817485349,-0.0012515644555695093
2000-02-15,0.011312724014336917,0.007205513784461104
2000-02-16,-0.014730313434488829,-0.004665629860031051
2000-02-17,-0.005170863309352569,0.02124999999999999
2000-02-18,-0.021468926553672274,-0.036107711138310905
2000-02-22,-0.0025404157043880105,0.0031746031746031633
2000-02-23,0.011808288955776902,0.055696202531645644
2000-02-24,-0.020137299771167072,0.021582733812949728
2000-02-25,-0.003619803829985946,-0.022887323943661997
2000-02-28,0.020977381928981575,-0.0006006006006006315
2000-02-29,0.009641873278236845,0.02644230769230771
2000-03-01,0.007276034561164213,0.008196721311475308
2000-03-02,0.0006772009029345494,-0.02315621370499421
2000-03-03,0.018723212271599454,0.05640187263134422
2000-03-06,-0.009743135518157642,0.007878446820483997
2000-03-07,-0.01934257602862255,-0.015075376884422065
2000-03-08,-0.0012541329380914013,0.009070294784580435
2000-03-09,0.029223744292237397,0.03370786516853941
2000-03-10,-0.0053238686779059075,-0.004347826086956497
2000-03-13,-0.010927743086529884,-0.026200873362445365
2000-03-14,-0.014205186020293081,-0.036995515695067316
2000-03-15,0.02333028362305578,-0.04190919674039584
2000-03-16,0.046714349575324166,0.05710814094775207
2000-03-17,0.0040572282724749,0.018965517241379404
2000-03-20,-0.005104210974053558,-0.028200789622109368
2000-03-21,0.02052159042325785,0.03772489843296567
2000-03-22,0.006074570590699713,0.020134228187919545
2000-03-23,0.017072662919008996,0.01754385964912286
2000-03-24,0.005936540429887449,0.01346982758620685
2000-03-27,-0.010582010582010581,0.0015948963317384823
2000-03-28,-0.005758946935417564,-0.02547770700636942
2000-03-29,0.0010343400910219902,-0.04139433551198257
2000-03-30,-0.01673899566026038,-0.025000000000000022
2000-03-31,0.011349306431273742,0.020979020979021046
2000-04-03,0.005818786367414841,-0.05993150684931503
2000-04-04,-0.007438016528925617,-0.00971463266545236
2000-04-05,-0.0062447960033306105,-0.017780502759043526
2000-04-06,0.00869291998324262,0.02372034956304625
2000-04-07,0.006333714048385453,0.040243902439024426
2000-04-10,-0.003920759389187012,-0.060961313012895646
2000-04-11,-0.002900352185622568,-0.02372034956304614
2000-04-12,-0.027425722002908826,-0.05882352941176472
2000-04-13,-0.013885921811578772,-0.04347826086956519
2000-04-14,-0.05719237435008662,-0.08664772727272729
2000-04-17,0.03492647058823528,0.11508553654743392
2000-04-18,0.026420959147424483,0.02649930264993028
2000-04-19,-0.009301319489508963,-0.030570652173913082
2000-04-20,0.004803493449781593,-0.021723896285914535
2000-04-24,-0.010864841373316003,-0.028653295128939882
2000-04-25,0.041520210896309306,0.06747787610619471
2000-04-26,-0.011284539126766524,-0.03419689119170988
2000-04-27,-0.00330666666666668,0.044349070100142995
2000-04-28,-0.0062071917808219634,0.03835616438356171
2000-05-01,0.013568813267283986,0.00923482849604218
2000-05-02,-0.01997450063748407,-0.05751633986928106
2000-05-03,-0.02341717259323506,-0.01109570041608876
2000-05-04,0.007548845470692678,0.0021037868162692153
2000-05-05,0.012119876597620038,0.023792862141357674
2000-05-08,-0.007511430437622479,-0.038961038961038974
2000-05-09,-0.00800701985302188,-0.02133712660028453
2000-05-10,-0.022556390977443663,-0.07267441860465118
2000-05-11,0.022850678733031593,0.061128526645767955
2000-05-12,0.010838310108383098,0.0
2000-05-15,0.017286652078774667,0.04357459379615958
2000-05-16,0.009679500967950005,0.028308563340410542
2000-05-17,-0.010438858116744831,-0.020646937370956686
2000-05-18,-0.012271259418729863,-0.035839775122979645
2000-05-19,-0.01569311246730598,-0.047376093294460686
2000-05-22,-0.0075287865367581475,-0.0007651109410864443
2000-05-23,-0.014725568942436373,-0.08346094946401228
2000-05-24,0.016304347826086918,0.06265664160400997
2000-05-25,-0.01715686274509809,-0.022012578616352196
2000-05-26,0.001133529811834011,0.0
2000-05-30,0.032608695652173836,0.10048231511254024
2000-05-31,0.002192982456140413,-0.028487947406866332
2000-06-01,0.017505470459518557,0.051127819548872244
2000-06-02,0.0174193548387096,0.07153075822603716
2000-06-05,-0.004861551469033998,0.00250333778371159
